DOF	RowCount	RowFraction	Column3	logLikelihoodRatio	Pvalue	ln(Pvalue)
1	984	0.968	1.936	86.29785478	2.00568E-39	-89.10483436
1	985	0.97	1.94	87.096359	8.9846E-40	-89.9078921
1	986	0.972	1.944	87.90225168	3.99509E-40	-90.71833877
1	987	0.974	1.948	88.7156012	1.76325E-40	-91.53624273
1	988	0.976	1.952	89.53647655	7.72387E-41	-92.36167297
1	989	0.978	1.956	90.36494737	3.35781E-41	-93.19469913
1	990	0.98	1.96	91.20108394	1.4486E-41	-94.03539148
1	991	0.982	1.964	92.04495718	6.20126E-42	-94.88382094
1	992	0.984	1.968	92.89663868	2.63403E-42	-95.74005911
1	993	0.986	1.972	93.75620069	1.11004E-42	-96.60417822
1	994	0.988	1.976	94.62371614	4.6409E-43	-97.47625119
1	995	0.99	1.98	95.4992586	1.92477E-43	-98.35635161
1	996	0.992	1.984	96.38290236	7.91841E-44	-99.24455374
1	997	0.994	1.988	97.27472238	3.23106E-44	-100.1409325
1	998	0.996	1.992	98.1747943	1.30758E-44	-101.0455637
1	999	0.998	1.996	99.08319449	5.24778E-45	-101.9585235
1	1000	1	2	100	2.08849E-45	-102.879889
